frequency,Coherence
0.0,0.99095935
0.078125,0.9939912
0.15625,0.9885169
0.234375,0.9864488
0.3125,0.98783994
0.390625,0.9555515
0.46875,0.96106106
0.546875,0.926392
0.625,0.9213253
0.703125,0.889814
0.78125,0.8510179
0.859375,0.7118679
0.9375,0.28648397
1.015625,0.3683715
1.09375,0.5360663
1.171875,0.6662286
1.25,0.5091501
1.328125,0.75638366
1.40625,0.8370851
1.484375,0.5846401
1.5625,0.83485305
1.640625,0.84941626
1.71875,0.3445364
1.796875,0.24429695
1.875,0.7968763
1.953125,0.7666991
2.03125,0.78883547
2.109375,0.46511483
2.1875,0.13954462
2.265625,0.42913657
2.34375,0.8021723
2.421875,0.8888902
2.5,0.7634934
2.578125,0.83897114
2.65625,0.9023984
2.734375,0.9189863
2.8125,0.88375854
2.890625,0.77165556
2.96875,0.7752888
3.046875,0.703711
3.125,0.37273774
3.203125,0.54453564
3.28125,0.6804143
3.359375,0.54742515
3.4375,0.15093763
3.515625,0.338131
3.59375,0.3634038
3.671875,0.29843152
3.75,0.39308625
3.828125,0.31204242
3.90625,0.23772769
3.984375,0.34086812
4.0625,0.43198043
4.140625,0.65967023
4.21875,0.6518948
4.296875,0.57470053
4.375,0.34504426
4.453125,0.23877771
4.53125,0.28179252
4.609375,0.3881516
4.6875,0.59064054
4.765625,0.5753236
4.84375,0.4552268
4.921875,0.6350996
5.0,0.6987839
5.078125,0.4256154
5.15625,0.30903336
5.234375,0.01779058
5.3125,0.4937459
5.390625,0.32882988
5.46875,0.028500246
5.546875,0.039922293
5.625,0.24374293
5.703125,0.110791564
5.78125,0.43030822
5.859375,0.2784731
5.9375,0.4526129
6.015625,0.41865876
6.09375,0.5230197
6.171875,0.4475494
6.25,0.48432523
6.328125,0.16465667
6.40625,0.13245098
6.484375,0.25354797
6.5625,0.28456205
6.640625,0.16001666
6.71875,0.22687906
6.796875,0.32112685
6.875,0.26317275
6.953125,0.4901089
7.03125,0.30759683
7.109375,0.053513173
7.1875,0.17315038
7.265625,0.29205275
7.34375,0.453683
7.421875,0.019576756
7.5,0.04743409
7.578125,0.506158
7.65625,0.37729177
7.734375,0.099247
7.8125,0.14192885
7.890625,0.21125476
7.96875,0.24765024
8.046875,0.022800837
8.125,0.22719961
8.203125,0.29979417
8.28125,0.20468217
8.359375,0.2498345
8.4375,0.6236266
8.515625,0.6655997
8.59375,0.6463147
8.671875,0.42053828
8.75,0.5344745
8.828125,0.59439814
8.90625,0.6113273
8.984375,0.45945352
9.0625,0.08896723
9.140625,0.21794477
9.21875,0.31336507
9.296875,0.20306997
9.375,0.33711755
9.453125,0.4336305
9.53125,0.114921555
9.609375,0.0
9.6875,0.0
9.765625,0.0
9.84375,0.0
9.921875,0.0
10.0,0.0
